discovered_at,source_id,source_url,source_version,source_question_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,stated_answer,topic_notes,date_found
2026-06-14,examcollection-ccna,https://www.examcollection.com/200-301-dumps.html,200-301 v1.1,10,: Which command is used to verify the interface status and IP address configuration on a Cisco router?,A. show ip interface brief,B. show interfaces ip brief,C. show run interface,"D. show ip config Correct Answer: A Explanation: In Cisco IOS, the show ip interface brief command provides a concise summary of all interfaces on a router or switch. This command is extremely useful during troubleshooting or configuration because it displays: Interface name (e.g., GigabitEthernet0/0) IP address assigned to each interface Method of assignment (manual or DHCP) Interface status (up/down) Line protocol status (up/down) This command is a favorite among network administrators because it quickly shows whether an interface is active and properly configured. You can use it to verify connectivity, check IP configurations, or determine whether an interface is administratively down. Now, let’s evaluate the incorrect options:",B. show interfaces ip brief is not a valid Cisco IOS command. It’s a malformed version of the correct command.,"C. show run interface displays configuration details of a specific interface, but not a summary of all interfaces. It requires the interface name (e.g., show run interface GigabitEthernet0/1 ), and it's more verbose.",,Tier C catalog — sample MCQs on dumps page; discovery only,2026-06-14
2026-06-14,examtopics-ccna-research,https://www.examtopics.com/exams/cisco/200-301/view/1/,community,1,the exhibit. Which type of route does R1 use to reach host 10.10.13.10/32?,A. default route,B. network route,C. host route,D. floating static route,,,B (community vote — unverified),Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-14
2026-06-14,examtopics-ccna-research,https://www.examtopics.com/exams/cisco/200-301/view/1/,community,2,the exhibit. Which prefix does Router1 use for traffic to Host A?,A. 10.10.10.0/28,B. 10.10.13.0/25,C. 10.10.13.144/28,D. 10.10.13.208/29,,,D (community vote — unverified),Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-14
2026-06-14,examtopics-ccna-research,https://www.examtopics.com/exams/cisco/200-301/view/1/,community,4,A frame that enters a switch fails the Frame Check Sequence. Which two interface counters are incremented?,A. input errors,B. frame,C. giants,D. CRC,E. runts,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-14
2026-06-14,examtopics-ccna-research,https://www.examtopics.com/exams/cisco/200-301/view/1/,community,6,How do TCP and UDP differ in the way that they establish a connection between two endpoints?,"A. TCP uses the three-way handshake, and UDP does not guarantee message delivery.","B. TCP uses synchronization packets, and UDP uses acknowledgment packets.","C. UDP provides reliable message transfer, and TCP is a connectionless protocol.","D. UDP uses SYN, SYN ACK, and FIN bits in the frame header while TCP uses SYN, SYN ACK, and ACK bits.",,,A (community vote — unverified),Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-14
2026-06-14,examtopics-ccna-research,https://www.examtopics.com/exams/cisco/200-301/view/1/,community,7,Which 802.11 frame type is Association Response?,A. management,B. protected frame,C. action,D. control,,,A (community vote — unverified),Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-14
2026-06-14,examtopics-ccna-research,https://www.examtopics.com/exams/cisco/200-301/view/1/,community,8,which way does a spine-and-leaf architecture allow for scalability in a network when additional access ports are required?,A. A spine switch and a leaf switch can be added with redundant connections between them.,B. A spine switch can be added with at least 40 GB uplinks.,C. A leaf switch can be added with connections to every spine switch.,D. A leaf switch can be added with a single connection to a core spine switch.,,,C (community vote — unverified),Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-14
2026-06-14,examtopics-ccna-research,https://www.examtopics.com/exams/cisco/200-301/view/1/,community,9,What identifies the functionality of virtual machines?,A. The hypervisor communicates on Layer 3 without the need for additional resources.,B. Each hypervisor supports a single virtual machine and a single software switch.,"C. The hypervisor virtualizes physical components including CPU, memory, and storage.",D. Virtualized servers run efficiently when physically connected to a switch that is separate from the hypervisor.,,,C (community vote — unverified),Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-14
2026-06-14,examtopics-ccna-research,https://www.examtopics.com/exams/cisco/200-301/view/1/,community,10,Which command automatically generates an IPv6 address from a specified IPv6 prefix and MAC address of an interface?,A. ipv6 address dhcp,B. ipv6 address 2001:DB8:5:112::/64 eui-64,C. ipv6 address autoconfig,D. ipv6 address 2001:DB8:5:112::2/64 link-local,,,B (community vote — unverified),Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8601,"You have the following topology in your network and a Frame Flooding attack just ended. Just after the attack you connect a new host on the network (host C) and start sending traffic to host A, what happens and what you can do to prevent your environment from this to happening again?",A. The switch 1 will forward the traffic just to host A. The best way to prevent the network from this attack is using access-list on all switch ports.,B. The switch 1 will forward the traffic to hosts A and B. The best way to prevent the network from this attack is using spanning-tree portfast on all switch ports.,"C. The switch 1 will forward the traffic to hosts A, B and C. The best way to prevent the network from this attack is using port security on all switch ports.","D. The switch 1 will forward the traffic to all the ports, including hosts A, B and the uplink port. The best way to prevent the network from this attack is using port security on all switch ports, except the uplink port.","E. No packet will be forwarded until the switch is reloaded. The best way to prevent the network from this attack is using spanning-tree BPDU Guard enabled on all switch ports, except the uplink port.",,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8602,Three new switches were just installed and the host A cannot ping host C. Which statements are true regarding the configuration below?,A. Switch1 doesn´t have the VLAN 30 on it´s VLAN database.,"B. On Switch2, vlan 10 must be allowed on trunk interface Gi1/0/23.",C. Switch3 doesn´t have the VLAN 30 on it´s VLAN database.,D. Switch3 Gi1/0/1 interface must be configured as mode access to work this communication.,E. Switch1 Gi1/0/1 interface must be configured as mode trunk to work this communication.,F. Switch1 doesn´t have the VLAN 10 on it´s VLAN database.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8603,Refer to the command output below:,A. The destination address 192.168.230.10 will be reachable via 10.15.11.240.,B. The destination address 10.15.2.100 will be reachable via 10.15.106.142.,C. The destination address 191.168.0.1 will be reachable via 10.15.11.240.,D. Switch is using BGP as a routing protocol to learn the route to the destination address 192.168.40.5.,E. Switch is using Static route to learn the route to the destination subnet 10.51.28.0/22.,F. Switch is using BGP and OSPF as routing protocols.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8604,"Regarding the following architecture, which statements are true?","A. In this architecture, every lower-tier switch (leaf layer) is connected to each of the top-tier switches (spine layer) in a full-mesh topology.","B. In this architecture, every lower-tier switch (Spine layer) is connected to each of the top-tier switches (Leaf layer) in a full-mesh topology.",C. All switches are connected each other in a full mesh topology.,"D. The leaf layer consists of access switches that connect to devices such as servers, firewalls, etc.",E. Firewalls must be connected to the Spine switches.,F. STP protocol is used to prevent from network loops.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8605,Which of the following are examples of WAN multi-access networks? Choose all that apply.,A. Layer 3 MPLS service,B. Metro Ethernet E-LAN service (L2 VPLS),"C. Older WAN technologies, such as Frame Relay and ATM",D. DMVPN,E. SD-WAN,F. Metro Ethernet E-Line service,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8606,"Regarding WAN architecture, which of the following are examples of point-to-point connection? Choose all that apply.",A. Layer 3 MPLS service,B. Metro Ethernet E-LAN service (L2 VPLS),"C. Older WAN technologies, such as Frame Relay and ATM",D. DMVPN,E. SD-WAN,F. Metro Ethernet E-Line service,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8607,"Considering the THREE TIER network architecture model, which of the following statements are true regarding the DISTRIBUTION Layer?",A. Aggregation of LAN or WAN links.,B. Policy-based security in the form of access control lists (ACLs) and filtering.,"C. Broadcast domain control, because routers or multilayer switches do not forward broadcasts. The device acts as the demarcation point between broadcast domains.",D. Providing high-speed switching.,E. Providing reliability and fault tolerance.,"F. Avoiding CPU-intensive packet manipulation caused by security, inspection, quality of service (QoS) classification, or other processes.",,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8608,"Considering the THREE TIER network architecture model, which of the following statements are true regarding the CORE Layer?",A. Aggregation of LAN or WAN links.,B. Policy-based security in the form of access control lists (ACLs) and filtering.,"C. Broadcast domain control, because routers or multilayer switches do not forward broadcasts. The device acts as the demarcation point between broadcast domains.",D. Providing high-speed switching.,E. Providing reliability and fault tolerance.,"F. Avoiding CPU-intensive packet manipulation caused by security, inspection, quality of service (QoS) classification, or other processes.",,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8610,Select all statements which represents IAAS solutions provided by Cisco?,A. CSR 1000V,B. Duo,C. Meraki vMX,D. NGFWv,E. ASAv,F. Cloudlock,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8611,Select all statements which represents SaaS solutions.,A. Facebook,B. Gmail,C. Microsoft Azure,D. NGFWv,E. ASAv,F. SalesForce,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8612,"Regarding the following topology, which statement is TRUE?","A. Running show cdp neighbors"" command on Switch A, the output of this command will show Switch C and Switch D connected to the port Gi1/0/24.""","B. Running show cdp neighbors"" command on Switch D, the output of this command will show Switch A and Switch B connected to the port Gi1/0/24.""","C. Running show cdp neighbors"" command on Switch C, the output of this command will show Switch A and Switch D connected to the port Gi1/0/22.""","D. Running show cdp neighbors"" command on Switch B, the output of this command will show Switch A connected to the port Gi1/0/23, Switch D connected to the port Gi1/0/24 and Switch C connected to the port Gi1/0/22.""","E. Running show cdp neighbors"" command on Switch A, C and D will show no neighbors.""",,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8614,Refer to the following config output and select the correct statement.,A. RTR01 is a Cisco 1905 router connected to the interface Gi1/0/27 of SW01.,B. SW02 is a Cisco 2940 switch connected to the interface Gi0/1 of SW01.,C. IP phone SEPC40ACBE1651B is connected to the interface Gi1/0/4 of SW01.,D. RTR01 is a Cisco 1905 router connected to the interface Gi0/1 of SW01.,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8615,Refer to the following 'show lldp neighbor detail' output.,A. Software version,B. Management Address,C. Port Description,D. Uptime,E. Serial Number,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8618,Refer to the command outputs below and select all the correct statements.,A. The IP address 192.168.40.2 is reachable via Gi1/0/2 on SW01.,B. 192.168.101.1 is the IP address of interface VLAN 101 on switch SW01.,C. VLAN 95 has no hosts connected.,D. The IP address 192.168.40.2 is reachable via Gi1/0/23 on SW01.,E. The IP address 192.168.10.47 is reachable via Gi1/0/4 on SW01.,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8619,"You are the network analyst of FloodIT company and you need to restrict the management access to the RTR01 router, where just the IP 192.168.10.100 will be able to access it through SSH. No other host or protocol should be allowed. Which commands should be used to accomplish this task?",A. ip access-list standard SSH permit 192.168.10.100line vty 0 15 access-class SSH in transport input ssh,B. ip access-list standard SSH permit 192.168.10.100line vty 0 15 transport input ssh,C. ip access-list standard SSH permit 192.168.10.100line vty 0 15 access-class SSH in,D. ip access-list standard SSH permit tcp host 192.168.0.100 any eq 22line vty 0 15 access-class SSH in transport input ssh,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8620,"Considering the PAgP protocol, which statements are true?",A. It´s a Cisco proprietary protocol.,B. Can be configured as auto or desirable mode.,C. Can be configured as active or passive mode.,D. A port in the auto mode cannot form an EtherChannel with another port that is also in the auto mode.,E. A port in the desirable mode cannot form an EtherChannel with another port that is also in the desirable mode.,F. A port in the passive mode cannot form an EtherChannel with another port that is also in the passive mode.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8621,"Considering the LACP protocol, which statements are true?",A. It´s a Cisco proprietary protocol.,B. Can be configured as auto or desirable mode.,C. Can be configured as active or passive mode.,D. A port in the auto mode cannot form an EtherChannel with another port that is also in the auto mode.,E. A port in the desirable mode cannot form an EtherChannel with another port that is also in the desirable mode.,F. A port in the passive mode cannot form an EtherChannel with another port that is also in the passive mode.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8622,"You need to configure the switch SW01 to stablish a trunk connection to the SW02. On this configuration, SW01 must communicate through all the VLANs with SW02. All the untagged traffic must be tagged as VLAN 100. Which script you should use to accomplish this task?",A. SW01(config)#interface GigabitEthernet1/0/1 SW01(config-if)#switchport mode trunkSW01(config-if)#switchport access vlan 100,B. SW01(config)#interface GigabitEthernet1/0/1 SW01(config-if)#switchport mode trunkSW01(config-if)#switchport trunk native vlan 100,C. SW01(config)#interface GigabitEthernet1/0/1 SW01(config-if)#switchport mode trunkSW01(config-if)#switchport trunk allowed vlan 100,D. SW01(config)#interface GigabitEthernet1/0/1 SW01(config-if)#switchport mode accessSW01(config-if)#switchport access vlan 100,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8623,Refer to the 'show interface Gi1/0/1 switchport' output command below.,A. VLAN 1,B. VLAN 2,C. VLAN 5,D. VLAN 1001,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8624,Which protocol should be used to configure a trunk interface between some Cisco switch and a Cisco router?,A. 802.1q,B. 802.1p,C. 802.11a,D. ISL,E. LACP,F. PAgP,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8625,Refer to the 'show interface Gi1/0/23 switchport' command output.,"A. VLANs 7,10,15,20,30,40",B. VLANs 2 to 1001,C. Any VLAN,D. VLAN 1,"E. VLANs 5,7,10,15,20,30,40",F. VLAN 5,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8626,"You are including a new switch to your network infrastructure. Before connect the switch to the network, you delete all VLAN entries, configure VTP mode as client and configure the same VTP domain from the current network. When you connect the switch to the network, all the network stops responding. What can be the issue?",A. You forgot to setup the VTP password.,"B. The new switch has a higher Configuration Revision number than the current VTP setup. Due to this, the VLAN configuration from the new switch was propagated to all the network.","C. The new switch has a lowest Configuration Revision number than the current VTP setup. Due to this, the VLAN configuration from the new switch was propagated to all the network.",D. The new switch has a different VTP domain from the current VTP setup.,E. You should configure the new switch as VTP server.,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8627,"Considering the following command output, select all the correct statements.",A. This switch is using 802.1D protocol.,B. This interface Gi0/2 is in blocking state and will not communicate through VLAN 1.,"C. If the spanning-tree priority is changed to 28672, this switch will be elected as root bridge.",D. This switch is the root bridge for VLAN 1.,"E. If the spanning-tree priority is changed to 32767, this switch will be elected as root bridge.",F. The switch is not using the default cost value for the interface Gi0/1.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8630,TCP and UDP protocols are part of which OSI Model layer?,A. Physical,B. Data Link,C. Network,D. Transport,E. Session,F. Presentation,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8631,"What are the standard ports used by SSH and HTTP protocols, respectively?",A. TCP/22 and TCP/80,B. TCP/21 and TCP/80,C. UDP/22 and UDP/80,D. TCP/22 and TCP/443,E. TCP/22 and TCP/81,F. TCP/22 and TCP/88,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8632,Select the characteristics of TCP protocol. Choose all that apply.,A. Connection oriented,B. Connectionless,C. Reliable,D. Higher header overhead,E. Sequencing of data packets,F. Re-transmission of lost packets,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8633,Which of the following are IP address networks reserved for private address as per RFC 1918?,A. 10.0.0.0/8,B. 172.16.0.0/12,C. 192.168.0.0/16,D. 100.0.0.0/16,E. 172.0.0.0/12,F. 172.168.0.0/16,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8634,"Which CIDR better fits the summarization of the prefixes 200.1.32.0/24, 200.1.33.0/24, 200.1.34.0/24 and 200.1.35.0/24?",A. 200.1.32.0/23,B. 200.1.32.0/22,C. 200.1.32.0/21,D. 200.1.32.0/20,E. 200.1.32.0/19,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8635,Which of the following are usable IP addresses?,A. 192.168.10.10/31,B. 192.168.0.16/29,C. 10.245.200.129/26,D. 200.201.255.224/27,E. 10.9.10.255/23,F. 192.168.255.31/27,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8636,What is the correct subnet mask for the prefix 192.168.123.0/27,A. 255.255.255.240,B. 255.255.255.224,C. 255.255.255.248,D. 255.255.255.220,E. 255.255.255.192,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8637,What is the correct wildcard mask for the prefix 200.116.222.0/29,A. 0.0.0.15,B. 0.0.0.7,C. 0.0.0.31,D. 255.255.255.248,E. 255.255.255.240,F. 255.255.255.224,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8638,Which command should be used to add a route to the subnet 10.0.0.0/25 using 192.168.1.1 as a gateway on IOS?,A. ip route 10.0.0.0 255.255.255.0 192.168.1.1,B. ip route 10.0.0.0 255.255.255.128 192.168.1.1,C. ip route 10.0.0.0 255.255.254.0 192.168.1.1 1,D. ip route 10.0.0.0/25 192.168.1.1,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8640,"On the table below, which Next Hop will be used to reach 192.168.1.10?",A. 172.16.1.2,B. 172.16.2.1,C. 172.16.3.1,D. 172.16.1.1,E. 172.16.10.1,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8642,"On the following routing table, which will be the next hop to the destination address 192.168.32.1?",A. 10.1.1.1,B. 10.1.1.2,C. 10.1.1.3,D. 10.1.1.4,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8644,Which interface level command should be used to configure it on OSPF area 10?,A. RTR1(config-if)#network 192.168.10.0 0.0.0.255 area 10,B. RTR1(config-if)#ip ospf 1 area 10,C. RTR1(config-if)#ip ospf area 10,D. RTR1(config-if)#ip ospf 10,E. RTR1(config-if)#ip ospf 10 area 1,F. RTR1(config-if)#ip ospf 192.168.10.0 255.255.255.0 area 10,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8645,Refer to the following show output.,A. This router is the designated router for area 1.,B. This router is using the default timer values.,C. This router is using 192.168.255.1 as router ID.,D. This router is using 192.168.255.3 as router ID.,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8646,Refer to the show ip route outputs below.,A. RTR1(config-router)#area 0 range 10.0.0.0 255.255.224.0RTR1(config-router)#default information originate,B. RTR1(config-router)#area 0 range 10.0.0.0 255.255.248.0RTR1(config-router)#default-information originate,C. RTR1(config-router)#area 0 range 10.0.0.0 255.255.240.0RTR1(config-router)#default-information originate always,D. RTR1(config-router)#area 0 range 10.0.0.0 255.255.240.0RTR1(config-router)#default-information originate,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8649,"Regarding the output below, which commands should be used to redistribute routes between OSPF and EIGRP? RTR4 must receive the default route either.",A. router eigrp 10 redistribute ospf 10 subnetsrouter ospf 10 redistribute eigrp 10 subnets,B. router eigrp 10 redistribute ospf 10 default-information originaterouter ospf 10 redistribute eigrp 10 subnets,C. router eigrp 10 redistribute ospf 10 metric 10000 100 255 1 1500router ospf 10 redistribute eigrp 10 subnets,D. router eigrp 10 redistribute ospf 10 metric 10000 100 255 1 1500 default-information originaterouter ospf 10 redistribute eigrp 10 subnets,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8650,"Regarding the following command output, which statements are true?","A. Regarding EIGRP metric weights, just bandwidth and delay will be considered to calculate the metric","B. Regarding EIGRP metric weights, just bandwidth and load will be considered to calculate the metric","C. Regarding EIGRP metric weights, just delay and reliability will be considered to calculate the metric",D. OSPF Area 10 is being redistributed into EIGRP AS 10,E. All prefixes redistributed from static routing table is using 170 as administrative distance,F. All prefixes redistributed from connected routing table is using 170 as administrative distance,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8651,Which statements are true regarding the following command line? Router(config)# ip nat inside source static 10.1.1.2 200.1.1.2,A. 10.1.1.2 is the outside global address,B. 200.1.1.2 is the inside global address,C. 200.1.1.2 is the inside local address,D. 10.1.1.2 is the inside local address,E. 200.1.1.2 is the outside global address,F. 10.1.1.2 is the inside global address,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
2026-06-14,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 v1.1,8652,"An internal host cannot reach the 200.201.202.203 server on the internet. You were asked to fix this. Which commands you need to issue on RTR01 to accomplish this? BTW, the host already reaches RTR1, so don´t need to worry about routing issues. You need to allow the communication to any tcp port.",A. ip access-list extended NAT-HOST-WWW permit tcp host 10.0.0.10 host 200.201.202.203ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat insideinterface GigabitEthernet0/0/0 ip nat outside,B. ip access-list extended NAT-HOST-WWW permit ip 10.0.0.10 255.255.255.255 host 200.201.202.203ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat insideinterface GigabitEthernet0/0/0 ip nat outside,C. ip access-list extended NAT-HOST-WWW permit ip 10.0.0.0 0.0.0.255 host 200.201.202.203ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat insideinterface GigabitEthernet0/0/0 ip nat outside,D. ip access-list extended NAT-HOST-WWW permit ip host 10.0.0.10 host 200.201.202.203ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-14
