discovered_at,source_id,source_url,source_version,source_question_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,stated_answer,topic_notes,date_found,bct_match_score,bct_match_slug
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8655,"Which command can be used to allow internal IP addresses from the corporate network 10.0.0.0/24 to access any public IP, using the interface Gi0/0/0 as translated source?",A. ip access-list extended WWW-HOST-NAT permit ip 10.0.0.0 0.0.0.255 anyip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/0 ip nat outsideinterface GigabitEthernet0/0/1 ip nat inside,B. ip access-list extended WWW-HOST-NAT permit ip 10.0.0.0 255.255.255.0 anyip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/0 ip nat outsideinterface GigabitEthernet0/0/1 ip nat inside,C. ip access-list extended WWW-HOST-NAT permit ip 10.0.0.0 0.0.0.255 anyip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,D. ip access-list extended WWW-HOST-NAT permit ip 10.0.0.0 0.0.0.255 anyip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/1 overload,E. ip access-list extended WWW-HOST-NAT permit ip 10.0.0.0 0.0.0.255 anyip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/1 overloadinterface GigabitEthernet0/0/0 ip nat outsideinterface GigabitEthernet0/0/1 ip nat inside,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.23,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8656,You need to configure you network switch to use the router as the NTP server. Which configuration must be done in the switch to accomplish this task? Follow the information needed: NTP server IP: 192.168.0.1 key: cisco,A. ntp authentication-key 1 md5 ciscontp authenticatentp server 192.168.0.1 key 1,B. ntp authentication-key 1 md5 ciscontp authenticatentp server 192.168.0.1,C. ntp authentication-key 1 md5 ciscontp master 192.168.0.1 key 1,D. ntp authentication-key 1 md5 ciscontp server 192.168.0.1,E. ntp authentication-key ciscontp authenticatentp server 192.168.0.1 key 1,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.24,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8657,You need to configure a NTP server for your internal network with MD5 authentication using the password cisco. Which configuration must be done on the NTP server to accomplish this task?,A. ntp authentication-key 1 md5 ciscontp authenticatentp trusted-key 1ntp master 5,B. ntp authentication-key ciscontp trusted-key 1ntp master 5,C. ntp authentication-key 1 md5 ciscontp authenticatentp trusted-key 1,D. ntp authentication-key md5 ciscontp authenticatentp master 5,E. ntp authentication-key 1 md5 ciscontp trusted-key 1ntp master 5,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8659,"Which of the following configuration should be used to send syslog messages to the syslog server 192.168.0.10, limiting the messages to warning and higher?",A. SW01(config)#logging 12.168.0.10SW01(config)#logging trap 4,B. SW01(config)#logging 192.168.0.10SW01(config)#logging trap 4,C. SW01(config)#logging 192.168.0.10SW01(config)#logging trap 5,D. SW01(config)#logging 192.168.0.10SW01(config)#logging trap 3,E. SW01(config)#logging 192.168.0.10 trap 5,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.27,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8660,"You already configure the syslog server to receive logs from your network devices. Now, you need to limit the number of messages per second to 10. Make sure this will not affect the messages from level 3 or higher.",A. SW01(config)#logging rate-limit 10 except 3,B. SW01(config)#logging limit 10 except 3,C. SW01(config)#logging limit 10 except errors,D. SW01(config)#logging trap 5 limit 10 except 3,E. SW01(config)#logging trap 5 10 3,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.18,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8661,"You configure HSRP per the topology below. After the implementation, you notice the following message:",A. The same IP address was used on both sides (R1/R2 and R3/R4),B. The same priority was used on both sides (R1/R2 and R3/R4),C. There is a loop on the network between the switches,D. The same standby group was used on both sides (R1/R2 and R3/R4),E. There is no error on the log,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.12,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8662,"You need to implement HSRP as per the following topology. When the primary router fails, the secondary needs to be activated. Once the primary becomes online again, it needs to be the active again. Which of the presented script can be used to accomplish the task?",A. R1:interface GigabitEthernet0/0 standby 1 ip 192.168.200.1 standby 1 preemptR2:interface GigabitEthernet0/0 standby 1 ip 192.168.200.1 standby 1 prio 90 standby 1 preemptR3:interface GigabitEthernet0/0 standby 254 ip 192.168.200.254 standby 254 preemptR4:interface GigabitEthernet0/0 standby 254 ip 192.168.200.254 standby 254 prio 90 standby 254 preempt,B. R1:interface GigabitEthernet0/0 standby 1 ip 192.168.200.1 standby 1 prio 100 standby 1 preemptR2:interface GigabitEthernet0/0 standby 1 ip 192.168.200.1 standby 1 prio 90 standby 1 preemptR3:interface GigabitEthernet0/0 standby 1 ip 192.168.200.254 standby 1 prio 100 standby 1 preemptR4:interface GigabitEthernet0/0 standby 1 ip 192.168.200.254 standby 1 prio 90 standby 1 preempt,C. R1:interface GigabitEthernet0/0 standby 1 ip 192.168.200.1 standby 1 prio 100R2:interface GigabitEthernet0/0 standby 1 ip 192.168.200.1 standby 1 prio 90R3:interface GigabitEthernet0/0 standby 1 ip 192.168.200.254 standby 1 prio 100R4:interface GigabitEthernet0/0 standby 1 ip 192.168.200.254 standby 1 prio 90,D. R1:interface GigabitEthernet0/0 standby 1 ip 192.168.200.1R2:interface GigabitEthernet0/0 standby 1 ip 192.168.200.1 standby 1 prio 90R3:interface GigabitEthernet0/0 standby 254 ip 192.168.200.254R4:interface GigabitEthernet0/0 standby 254 ip 192.168.200.254 standby 254 prio 90,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.21,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8663,What is the main purpose of using FHRP?,A. Provides a secure communication between the routers.,"B. Provides the first hop redundancy using a virtual IP address, which can be shared between 2 or more routers.",C. Provides an equal cost load balance through a virtual IP address.,D. Provides IP address dinamically to the hosts of a network.,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.44,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8664,Which of the following access-list should be used to deny the following specific inbound traffic in the interface Gi0/0? SOURCE: 192.168.0.10 DESTINATION: 200.200.200.200 PROTOCOL: IP,A. ip access-list extended block-specific deny ip host 192.168.0.10 host 200.200.200.200 permit ip any anyinterface GigabitEthernet0/0 ip access-group block-specific in,B. ip access-list extended block-specific deny ip host 192.168.0.10 host 200.200.200.200interface GigabitEthernet0/0 ip access-group block-specific in,C. ip access-list extended block-specific deny ip 192.168.0.10 255.255.255.255 200.200.200.200 255.255.255.255 permit ip any anyinterface GigabitEthernet0/0 ip access-group block-specific in,D. ip access-list extended block-specific deny tcp host 192.168.0.10 host 200.200.200.200interface GigabitEthernet0/0 ip access-group block-specific in,E. ip access-list extended block-specific permit tcp host 192.168.0.10 host 200.200.200.200interface GigabitEthernet0/0 ip access-group block-specific in,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.29,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8665,You need to create an access-list where: - SSH traffic with destination 192.168.10.10 must be blocked just from subnet 192.168.0.0/24; - NTP traffic with destination 1.2.3.4 must be allowed just from subnet 192.168.0.0/24; - All the remaining traffic must be allowed.,A. ip access-list extended acl deny tcp 192.168.0.0 0.0.0.255 host 192.168.10.10 eq 22 permit udp 192.168.0.0 0.0.0.255 host 1.2.3.4 eq 123 deny udp any host 1.2.3.4 eq 123 permit ip any any,B. ip access-list extended acl deny tcp 192.168.0.0 0.0.0.255 host 192.168.10.10 eq 22 permit udp 192.168.0.0 0.0.0.255 host 1.2.3.4 eq 123 permit ip any any,C. ip access-list extended acl deny tcp 192.168.0.0 0.0.0.255 host 192.168.10.10 eq 22 permit udp 192.168.0.0 0.0.0.255 host 1.2.3.4 eq 123 deny udp any host 1.2.3.4 eq 123,D. ip access-list extended acl deny tcp 192.168.0.0 0.0.0.255 host 192.168.10.10 eq 22 permit tcp 192.168.0.0 0.0.0.255 host 1.2.3.4 eq 123 deny udp any host 1.2.3.4 eq 123 permit ip any any,E. ip access-list extended acl deny tcp 192.168.0.0 0.0.0.255 host 192.168.10.10 eq 22 permit tcp 192.168.0.0 0.0.0.255 host 1.2.3.4 eq 123 deny udp any host 1.2.3.4 eq 123,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8667,You need to configure a router for AAA authentication using TACACS+ and local authentication as a fallback. Which of the following script can be used?,A. aaa new-modeltacacs-server host 10.1.2.10 key ciscoaaa authentication login default group tacacs+ localaaa authorization exec default group tacacs+ local,B. tacacs-server host 10.1.2.10aaa authentication login default group tacacs+ localaaa authorization exec default group tacacs+ local,C. aaa new-modeltacacs-server host 10.1.2.10 key ciscoaaa authentication login default tacacs+ localaaa authorization exec default tacacs+ local,D. tacacs-server host 10.1.2.10 key ciscoaaa authentication login group tacacs+ localaaa authorization exec group tacacs+ local,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.23,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8669,Which of the following are characteristics of the RADIUS protocol?,A. Uses TCP port 49,B. Uses UDP port 1812 and/or 1645,C. Encrypts the entire payload of each packet,D. Encrypts only passwords,E. It´s an open standard,F. No command logging,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.33,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8671,Which of the following definition is related to Ransomware?,"A. It can display unsolicited advertising using pop-up web browser windows, new toolbars, or unexpectedly redirect a webpage to a different website.",B. Typically denies a user access to their files by encrypting the files,C. They are used by threat actors to gain administrator account-level access to a computer.,"D. Similar to adware, but used to gather information about the user and send to threat actors without the user’s consent.",E. self-replicating program that propagates automatically without user actions by exploiting vulnerabilities in legitimate software.,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8672,Which of the following definition is related to Rootkit?,"A. It can display unsolicited advertising using pop-up web browser windows, new toolbars, or unexpectedly redirect a webpage to a different website.",B. Typically denies a user access to their files by encrypting the files,C. They are used by threat actors to gain administrator account-level access to a computer.,"D. Similar to adware, but used to gather information about the user and send to threat actors without the user’s consent.",E. self-replicating program that propagates automatically without user actions by exploiting vulnerabilities in legitimate software.,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8673,Which of the following script can be used to configure SSHv2 as authentication protocol?,A. ip domain name cisco.comcrypto key generate rsa modulus 2048ip ssh version 2,B. ip domain name cisco.comip ssh version 2,C. crypto key generate rsa 2048ip ssh version 2,D. ip domain name cisco.comcrypto key generate rsa 2048ip ssh version 2,E. ip domain name cisco.comcrypto key generate modulus 2048ip ssh version 2,F. ip domain name cisco.comcrypto key rsa modulus 2048ip ssh version 2,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8674,"Which type of hacker attempt to discover exploits and report them to vendors, sometimes for prizes or rewards?",A. Script Kiddies,B. Vulnerability Broker,C. Hacktivists,D. Cyber criminals,E. State-Sponsored,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.15,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8675,Which switch feature can be used to protect the network against man-in-the-middle attacks?,A. Dynamic ARP Inspection,B. access-list,C. DHCP,D. IDS,E. WSA,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.31,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8677,Which type of IPv6 address are allocated from the unicast address space to be assigned to a set of interfaces that typically belong to different nodes?,A. Unicast,B. Broadcast,C. Anycast,D. Multicast,E. Global Unicast,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.28,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8678,Which of the following are multicast addresses?,A. 232.1.2.3,B. FF02::1,C. FE80::1,D. 240.3.2.1,E. 2001::1,F. 2002::2,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8679,Which statement provides the correct value used by the host to assign itself an EUI-64 address from it´s MAC address?,A. 0xFFFE,B. 0xFE80,C. 0xFF00,D. 0xFFFF,E. 0xFF80,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.23,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8680,Which of the following statements are needed to assign a EUI-64 IPv6 address to an interface using a specific prefix?,A. RTR1(config)#ipv6 unicast-routing,B. RTR1(config-if)#ipv6 address 2001:abc:1234:2::32/64 eui-64,C. RTR1(config-if)#ipv6 address 2001:abc:1234:2::32 eui-64,D. RTR1(config)#ipv6 routing,E. RTR1(config-if)#ipv6 address autoconfig eui-64,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.29,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8681,"After you create the NAT entry to use the cloud proxy internally in your network, you need to evolve this architecture changing the IP based proxy to a DNS name-based implementation. As you don´t have any DNS server locally (since this is a small office), you need to configure DNS service on the router and create an entry for the proxy server. The name will be proxy.secureit.net and the IP address is 192.168.100.100. As per the corporate policy, no public access is allowed directly from hosts, just through the proxy. So, make sure public hosts will not be translated. Which configuration must be used to accomplish this task?",A. R1(config)# ip dns serverR1(config)# ip domain-lookupR1(config)# ip name-server 8.8.8.8 1.1.1.1R1(config)# ip host proxy.secureit.net 192.168.100.100,B. R1(config)# ip name-server 8.8.8.8 1.1.1.1R1(config)# ip host proxy.secureit.net 192.168.100.100,C. R1(config)# ip domain-lookupR1(config)# ip name-server 8.8.8.8 1.1.1.1R1(config)# ip host proxy.secureit.net 192.168.100.100,D. R1(config)# ip domain-lookupR1(config)# ip host proxy.secureit.net 192.168.100.100,E. R1(config)# ip dns serverR1(config)# ip host proxy.secureit.net 192.168.100.100,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.17,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8682,"Everytime you misspell a command, the router tries to translate it. Since you are not using DNS on the router, you want to disable it. Which command can be used in a Cisco router to avoid the router from DNS translations?",A. no ip domain-lookup,B. no ip dns server,C. no ip name-server,D. no ip dns client,E. no dns client,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.23,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8683,What is the definition of LLQ and what is the command to configure it?,"A. Low Latency Queuing (LLQ) provides strict priority queueing for CBWFQ, reducing jitter in voice conversations.",B. Low Latency Queuing (LLQ) allows you to control the maximum rate of traffic transmitted or received on an interface.,C. Low Latency Queuing (LLQ) can selectively discard lower priority traffic when the interface begins to get congested and provide differentiated performance characteristics for different classes of service.,D. Router(config-pmap-c)# priority 50,E. Router(config-pmap-c)# shape average 384000 15440,F. Router(config-pmap-c)# police 8000 1000 1000 conform-action transmit exceed-action drop,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.33,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8684,Which of the following statements is the term used to indicate the difference in the end-to-end delay between packets?,A. delay,B. latency,C. jitter,D. loss,E. priority,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.29,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8685,You need to implement a QoS policy in your network. The first task is to define the QoS classes. Which of the following definitions would be the recommended?,A. Voice - EFCall-signalling - CS3Interactive Video - AF41Critical Data - AF31Bulk Data - AF11Network Management - CS2,B. Call-signalling - EFVoice - AF41Interactive Video - AF31Critical Data - AF21Bulk Data - AF11Network Management - CS2,C. Voice - CS1Call-signalling - CS3Interactive Video - AF31Critical Data - AF21Bulk Data - AF11Network Management - CS2,D. Voice - AF41Call-signalling - AF31Interactive Video - CS4Critical Data - CS3Bulk Data - CS2Network Management - CS1,E. Voice - AF41Call-signalling - AF31Interactive Video - AF21Critical Data - AF11Bulk Data - CS1Network Management - CS2,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.19,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8687,You already configure voice and access VLAN to all users ports on a switch. Which of the following commands are necessary to enable port security and limit the number of mac addresses per port to 1 on each voice and access vlan? Make sure the ports will not disable when a violation occurs. Just drop the unknown source address packets and generates a SNMP trap to the syslog.,A. SW01(config-if)#switchport port-security,B. SW01(config-if)#switchport port-security maximum 1 vlan access,C. SW01(config-if)#switchport port-security maximum 1 vlan voice,D. SW01(config-if)#switchport port-security maximum 1,E. SW01(config-if)# switchport port-security violation restrict,F. SW01(config-if)# switchport port-security violation shutdown,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.20,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8689,Which of the following WLAN authentication method uses the Advanced Encryption Standard (AES) for encryption?,A. WEP,B. WPA,C. WPA2,D. WPA3,E. WPA4,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.33,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8691,"Which ports are used by CAPWAP to stablish the control message tunnel and the data tunnel, respectively?",A. UDP/5246 and UDP/5247,B. UDP/1646 and UDP/1647,C. TCP/5246 and TCP/5247,D. TCP/1646 and TCP/1647,E. UDP/1812 and UDP/1813,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.19,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8692,On which type of wireless deployment access points can switch client data traffic locally and perform client authentication locally when their connection to the controller is lost?,A. FlexConnect,B. CAPWAP,C. LWAPP,D. Autonomous,E. BSS,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.24,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8693,"In a controller-based network architecture, the controller needs to communicate to the networking devices. What is the name of the interface between the controller and those devices?",A. Southbound Interface,B. Northbound Interface,C. Control Plane,D. Data Plane,E. Management Plane,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.37,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8694,The SDN solution architecture has three layers. Which of the following protocols run in the Control Plane layer?,A. OSPF,B. BGP,C. IP,D. SSH,E. Telnet,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.20,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8695,Which Cisco DNA solution enables network access in minutes for any user or device to any application without compromising security?,A. ACI,B. SD-Access,C. SD-WAN,D. Cisco DNA Assurance,E. Cisco DNA Security,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.20,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8696,"Your company want to reduce costs by replacing current MPLS solution by internet links using VPN to connect the locations. Since you have 9 locations which must connect each other, which of the following is the best solution in this case? All the locations have Cisco routers and they will not be replaced at this time.",A. DMVPN,B. SSL VPN,C. FlexVPN,D. VPN Site-to-Site,E. Remote Access VPN,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.15,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8697,"Which of the following is a VPN type with which, users can access the private networks over internet remotely?",A. Remote Access VPN,B. Site to Site VPN,C. DMVPN,D. FlexVPN,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.26,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8698,Which command configures the router to act as a Relay Agent for DHCP?,A. ip helper-address 192.168.1.10,B. ip dhcp forward 192.168.1.10,C. ip dhcp proxy agent 192.168.1.10,D. ip dhcp-proxy 192.168.1.10,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.31,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8699,Which of the following option can be used to create the following DHCP scope:,A. Router(config)#ip dhcp excluded-address 10.10.1.1 10.10.1.19Router(config)#ip dhcp excluded-address 10.10.1.201 10.10.1.254Router(config)#ip dhcp pool POOLRouter(dhcp-config)#default-router 10.10.1.1Router(dhcp-config)#dns-server 10.10.10.10 10.10.10.11Router(dhcp-config)#option 150 ip 192.168.10.10Router(dhcp-config)#network 10.10.1.0 255.255.255.0,B. Router(config)#ip dhcp excluded-address 10.10.1.1 10.10.1.20Router(config)#ip dhcp excluded-address 10.10.1.200 10.10.1.254Router(config)#ip dhcp pool POOLRouter(dhcp-config)#default-gateway 10.10.1.1Router(dhcp-config)#dns-server 10.10.10.10 10.10.10.11Router(dhcp-config)#option 53 ip 192.168.10.10Router(dhcp-config)#network 10.10.1.0 255.255.255.0,C. Router(config)#ip dhcp excluded-address 10.10.1.20 10.10.1.200Router(config)#ip dhcp pool POOLRouter(dhcp-config)#default-router 10.10.1.1Router(dhcp-config)#dns-server 10.10.10.10 10.10.10.11Router(dhcp-config)#option 69 ip 192.168.10.10Router(dhcp-config)#network 10.10.1.0 255.255.255.0,D. Router(config)#ip dhcp excluded-address 10.10.1.1 10.10.1.20Router(config)#ip dhcp excluded-address 10.10.1.200 10.10.1.254Router(config)#ip dhcp pool POOLRouter(dhcp-config)#default-gateway 10.10.1.1Router(dhcp-config)#dns-server 10.10.10.10 10.10.10.11Router(dhcp-config)#option 69 ip 192.168.10.10Router(dhcp-config)#network 10.10.1.0 255.255.255.0,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.31,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8701,Which of the following agentless automation tool uses SSH to connect to the network devices?,A. Ansible,B. Puppet,C. Chef,D. APIC,E. ACI,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.23,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8702,"Which automation tool uses only a server-client architecture based in a pull deployment model, where the clients check regularly on the server if anything needs to be updated?",A. Puppet,B. Chef,C. Ansible,D. APIC,E. YAML,F. XML,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.19,
2026-06-25,openexamprep-ccna,https://open-exam-prep.com/practice/ccna,200-301 V_2025,ccna-001,Which network device operates at Layer 3 of the OSI model and makes forwarding decisions based on IP addresses?,A. Hub,B. Switch,C. Router,D. Bridge,,,C,Tier B — verify answer on Cisco Tier A; enable when CCNA monthly collect ships,2026-06-25,0.26,
2026-06-25,openexamprep-ccna,https://open-exam-prep.com/practice/ccna,200-301 V_2025,ccna-002,A company uses Cisco Meraki cloud-managed access points and switches. What is a key advantage of cloud-managed network devices compared to traditional on-premises management?,A. Cloud-managed devices do not require any network connectivity after initial deployment,"B. Centralized dashboard management, zero-touch provisioning, and automatic firmware updates",C. Cloud-managed devices always perform faster than locally managed devices,D. Cloud-managed devices eliminate the need for physical network hardware entirely,,,B,Tier B — verify answer on Cisco Tier A; enable when CCNA monthly collect ships,2026-06-25,0.17,
2026-06-25,openexamprep-ccna,https://open-exam-prep.com/practice/ccna,200-301 V_2025,ccna-003,Which device provides wireless connectivity to clients and typically connects to a wired switch port configured as a trunk or access port?,A. Wireless router,B. Wireless LAN controller (WLC),C. Access point (AP),D. Firewall,,,C,Tier B — verify answer on Cisco Tier A; enable when CCNA monthly collect ships,2026-06-25,0.25,
2026-06-25,openexamprep-ccna,https://open-exam-prep.com/practice/ccna,200-301 V_2025,ccna-004,"A network engineer is deploying a new branch office. The design calls for a device that can provide routing, switching, wireless, and security functions in a single platform. Which type of device best meets this requirement?",A. Layer 2 switch,B. Dedicated firewall appliance,C. Cisco Integrated Services Router (ISR),D. Standalone wireless access point,,,C,Tier B — verify answer on Cisco Tier A; enable when CCNA monthly collect ships,2026-06-25,0.20,
2026-06-25,openexamprep-ccna,https://open-exam-prep.com/practice/ccna,200-301 V_2025,ccna-005,"In a three-tier campus network architecture, which layer aggregates connections from access layer switches and applies policies such as QoS and access control?",A. Core layer,B. Distribution layer,C. Access layer,D. Service layer,,,B,Tier B — verify answer on Cisco Tier A; enable when CCNA monthly collect ships,2026-06-25,0.20,
